text, coorX, coorY, username, created at, hashtag(s) 
Resetting my soul with this evenings #sunset at the #Oceansidestrand with #Shaniquaboomboom and https://t.co/3mSXraw2Sv,-117.38796912, 33.19888047,dlangford6,Mon Nov 07 01:05:27 +0000 2016,#sunset #Oceansidestrand #Shaniquaboomboom 
I swear my little time at Laguna is school related<br/>#galleryday #lagunabeach #socal #sunset https://t.co/wxFaTMoQ7e,-117.78407755, 33.54199656,SicaLai93,Mon Nov 07 01:04:07 +0000 2016,#galleryday #lagunabeach #socal #sunset 
Sunset run #santamonica #palisadespark #santamonicastairs #sunset @ Palisades Park https://t.co/anKazaRodO,-118.50759126, 34.02185131,WillCarrFNC,Mon Nov 07 01:02:46 +0000 2016,#santamonica #palisadespark #santamonicastairs #sunset 
Santa Monica at sunset (the clocks went back last night here) #california #sunset #pier #ocean https://t.co/SZTQJL2bPP,-118.4960309, 34.0102885,MarysiaT,Mon Nov 07 01:02:03 +0000 2016,#california #sunset #pier #ocean 
#Sunset @ Mission Beach/ California https://t.co/HNMYera3JK,-117.251, 32.7825,captainturk,Mon Nov 07 01:01:23 +0000 2016,#Sunset 
Just finished #minisession #sunset #greatjob #santabarbarastyle #santabarasunset #beautifulnight https://t.co/GwTyHy2Sqx,-119.91682351, 34.43138419,ImagesbyValerie,Mon Nov 07 01:01:13 +0000 2016,#minisession #sunset #greatjob #santabarbarastyle #santabarasunset #beautifulnight 
...5pm ...ugh #FallBack #DarkTooEarly #Sunset #HollywoodHills @ Studio City/ California https://t.co/4dZ9zfCI08,-118.396, 34.1486,iDemops,Mon Nov 07 00:59:57 +0000 2016,#FallBack #DarkTooEarly #Sunset #HollywoodHills 
#sundaylove #acapulco #sunset #magicinmexico a moment of bliss  @ Acapulco https://t.co/7oyHfGMyO0,-99.8704246, 16.8584938,Suziedelvecchio,Mon Nov 07 00:58:36 +0000 2016,#sundaylove #acapulco #sunset #magicinmexico 
Beautiful Santa Barbara sunset this fine evening. #humworkSB #sunset #santabarbara #longnovember https://t.co/yCa8RcTOlD,-119.7025009, 34.420701,jMac029,Mon Nov 07 00:57:32 +0000 2016,#humworkSB #sunset #santabarbara #longnovember 
That sunset  #kelowna #Okanagan #hellobc #explorekelowna #sunset #running #okanaganlake https://t.co/uddUG2a45H,-119.50232915, 49.88124875,AnitaSthankiya,Mon Nov 07 00:57:20 +0000 2016,#kelowna #Okanagan #hellobc #explorekelowna #sunset #running #okanaganlake 
Grand Canyon #Selfies #grandcanyon #maverick #maverickhelicoptertours maverickvegas #sunset  @ https://t.co/qwNRFU5TBA,-115.17198757, 36.07880979,Kelz089,Mon Nov 07 01:25:19 +0000 2016,#Selfies #grandcanyon #maverick #maverickhelicoptertours #sunset 
Sunday Funday  #sunset #sundayfunday @ Salt Creek Beach Park https://t.co/fDcOeNw3un,-117.71962656, 33.47697882,TheOmarKhan,Mon Nov 07 01:24:49 +0000 2016,#sunset #sundayfunday 
A quick Alto Guitar rehearsal before dinner. #altoguitar #classicalguitar #sunset #beer https://t.co/uMuiFxcW0Z,-117.25170278, 32.75088333,a4guitar,Mon Nov 07 01:24:33 +0000 2016,#altoguitar #classicalguitar #sunset #beer 
Went for a #kayak trip in Montrose harbor with the family for #sunset #chicago in November @ https://t.co/n1FC2PiguU,-87.6387266, 41.96417547,enlightener1,Mon Nov 07 01:20:46 +0000 2016,#kayak #sunset #chicago 
Sunset at 5. I hate this twice-a-year change. #daylightsaving #sunset #pinksky @ City of Pasadena https://t.co/ZInwi1YIwH,-118.150937, 34.177503,TheDirtMag,Mon Nov 07 01:17:57 +0000 2016,#daylightsaving #sunset #pinksky 
Travel brings power and love  #adventure #trekking #sunset #beach #mountains #loveforever https://t.co/hFmMH7FOqC,120.10211, 14.95117,cutielovelygirl,Mon Nov 07 01:17:45 +0000 2016,#adventure #trekking #sunset #beach #mountains #loveforever 
| Just another backyard sunset |<br/><br/>#sunset #v20 #lg#nightphotography #nightsky #moon #colorful https://t.co/afSOOfG0y3,-117.124, 33.5033,DANIMAL_SD,Mon Nov 07 01:16:42 +0000 2016,#sunset #v20 #nightsky #moon #colorful 
#Sunset. #Vancouver.<br/>View of the sunset was #spectacular #yesterday. #LaterGram https://t.co/on0KnQLw3M,-123.1317278, 49.27393911,kenthawkins,Mon Nov 07 01:15:32 +0000 2016,#Sunset #Vancouver #spectacular #yesterday #LaterGram 
Sunday evening views.<br/>.<br/>.<br/>#landscape #sunset #newyork #upstateny #mountains #ny #hudson https://t.co/3SWBUjCUIS,-73.9993, 41.3033,JoeyMikos,Mon Nov 07 01:15:31 +0000 2016,#landscape #sunset #newyork #upstateny #mountains #ny #hudson 
Fall Back Sunday Sunset #wilshireblvd #sunset #beverlyhills #eveningwalk @ Beverly Hills/ https://t.co/t4uDmnMh4Z,-118.39944444, 34.07305556,SwimCharlieSwim,Mon Nov 07 01:13:30 +0000 2016,#wilshireblvd #sunset #beverlyhills #eveningwalk 
your new surprises/ or- you came with/ #magichour #sunset #riversandroads #williamsburgbridge https://t.co/rsn8efnbr2,-73.96888733, 40.71249202,WilsonundWirth,Mon Nov 07 02:10:28 +0000 2016,#magichour #sunset #riversandroads #williamsburgbridge 
Sky art #sun #sunset #flight #plane #Aruba #lonehappyisland  #clouds #mylife #gaycation https://t.co/4Z1fFaHA0H,-78.77306819, 26.52053548,Ckolb,Mon Nov 07 02:07:58 +0000 2016,#sun #sunset #flight #plane #Aruba #lonehappyisland #clouds #mylife #gaycation 
